time,Sonic,Sonic2,cameraPos,cameraHpr,,explode,size
time,Pose sonic.csv,Pose sonic.csv,P3,HPR,,Event,Number
1.015, rightFootForward, leftFootForward,"""0 -5 0""",0 0 0,one,x,1
1.661,leftFootForward, rightFootForward,,,two,,
2.271,rightFootForward,leftFootForward,,,three,,
2.897,leftFootForward,rightFootForward,,,four,,
3.55,rightFootForward,leftFootForward,,,one,x,
4.149,leftFootForward,rightFootForward,,,two,,
4.777,rightFootForward,leftFootForward,,,three,,
5.425,leftFootForward,rightFootForward,,,four,,
6.023,rightFootForward,leftFootForward,,,one,x,
6.637,leftFootForward,rightFootForward,,,two,,
7.255,rightFootForward,leftFootForward,,,three,,
7.874,leftFootForward,rightFootForward,,,four,,
8.507,rightFootForward,leftFootForward,,,one,x,
9.123,leftFootForward,rightFootForward,,,two,,
9.74,rightFootForward,leftFootForward,,,three,,
10.356,leftFootForward,rightFootForward,,,four,,2
10.989,rightFootForward,leftFootForward,"""1 -5 0""",,one,x,
11.604,leftFootForward,rightFootForward,,,two,,
12.212,rightFootForward,leftFootForward,,,three,,
12.828,leftFootForward,rightFootForward,,,four,,
13.462,rightFootForward,leftFootForward,,,one,x,
14.087,leftFootForward,rightFootForward,,,two,,
14.729,rightFootForward,leftFootForward,,,three,,
15.342,leftFootForward,rightFootForward,,,four,,
15.956,rightFootForward,leftFootForward,,,one,x,
16.582,leftFootForward,rightFootForward,,,two,,
17.194,rightFootForward,leftFootForward,,,three,,
17.817,leftFootForward,rightFootForward,,,four,,
18.44,rightFootForward,leftFootForward,,,one,x,
18.766,leftFootForward,rightFootForward,,,two,,
19.086,rightFootForward,leftFootForward,,,three,,
19.39,leftFootForward,rightFootForward,,,four,,
19.688,rightFootForward,leftFootForward,,,one,x,
20.932,leftFootForward,rightFootForward,"""-1 -5 0""",0 0 0,two,,1
